,player_id,player_name,current_mmr,current_lr,current_class,win_percentage,win10_percentage,average_score,average10_score,total_events,AP DS Delfino Square,AP DS Desert Hills,AP DS Peach Gardens,AP DS Yoshi Falls,AP GBA Bowser Castle 3,AP GBA Shy Guy Beach,AP GCN DK Mountain,AP GCN Mario Circuit,AP GCN Peach Beach,AP GCN Waluigi Stadium,AP N64 Bowser's Castle,AP N64 DK's Jungle Parkway,AP N64 Mario Raceway,AP N64 Sherbet Land,AP SNES Ghost Valley 2,AP SNES Mario Circuit 3,AP Wii Bowser's Castle,AP Wii Coconut Mall,AP Wii DK Summit,AP Wii Daisy Circuit,AP Wii Dry Dry Ruins,AP Wii Grumble Volcano,AP Wii Koopa Cape,AP Wii Luigi Circuit,AP Wii Maple Treeway,AP Wii Mario Circuit,AP Wii Moo Moo Meadows,AP Wii Moonview Highway,AP Wii Mushroom Gorge,AP Wii Rainbow Road,AP Wii Toad's Factory,AP Wii Wario's Gold Mine,AT DS Delfino Square,AT DS Desert Hills,AT DS Peach Gardens,AT DS Yoshi Falls,AT GBA Bowser Castle 3,AT GBA Shy Guy Beach,AT GCN DK Mountain,AT GCN Mario Circuit,AT GCN Peach Beach,AT GCN Waluigi Stadium,AT N64 Bowser's Castle,AT N64 DK's Jungle Parkway,AT N64 Mario Raceway,AT N64 Sherbet Land,AT SNES Ghost Valley 2,AT SNES Mario Circuit 3,AT Wii Bowser's Castle,AT Wii Coconut Mall,AT Wii DK Summit,AT Wii Daisy Circuit,AT Wii Dry Dry Ruins,AT Wii Grumble Volcano,AT Wii Koopa Cape,AT Wii Luigi Circuit,AT Wii Maple Treeway,AT Wii Mario Circuit,AT Wii Moo Moo Meadows,AT Wii Moonview Highway,AT Wii Mushroom Gorge,AT Wii Rainbow Road,AT Wii Toad's Factory,AT Wii Wario's Gold Mine,R DS Delfino Square,R DS Desert Hills,R DS Peach Gardens,R DS Yoshi Falls,R GBA Bowser Castle 3,R GBA Shy Guy Beach,R GCN DK Mountain,R GCN Mario Circuit,R GCN Peach Beach,R GCN Waluigi Stadium,R N64 Bowser's Castle,R N64 DK's Jungle Parkway,R N64 Mario Raceway,R N64 Sherbet Land,R SNES Ghost Valley 2,R SNES Mario Circuit 3,R Wii Bowser's Castle,R Wii Coconut Mall,R Wii DK Summit,R Wii Daisy Circuit,R Wii Dry Dry Ruins,R Wii Grumble Volcano,R Wii Koopa Cape,R Wii Luigi Circuit,R Wii Maple Treeway,R Wii Mario Circuit,R Wii Moo Moo Meadows,R Wii Moonview Highway,R Wii Mushroom Gorge,R Wii Rainbow Road,R Wii Toad's Factory,R Wii Wario's Gold Mine
79,1716,Riolu,9184,9075,Class A,0.68932,0.3,78.3799,65.2,103,7,7,6,5,6,7,7,6,8,5,6,7,7,6,7,6,6,6,5,7,7,5,8,6,6,7,8,6,6,5,6,7,132.371,114.074,130.841,66.762,134.782,98.843,139.493,103.287,86.437,126.56,168.79,151.124,117.732,137.384,59.278,87.586,153.777,128.676,124.951,102.853,124.675,117.19,154.171,77.451,151.434,91.774,90.203,117.3,111.767,164.951,120.695,122.951,52,9,46,12,99,6,28,16,14,58,67,20,11,39,21,52,75,40,55,11,74,94,45,25,42,15,18,66,90,16,54,27
80,196,Arconterous,9457,9044,Class A,0.691358,0.5,75.6048,73.0,84,6,7,6,7,6,7,6,4,6,6,7,6,7,7,6,7,6,6,6,5,6,6,7,7,6,7,8,6,6,7,6,7,136.779,106.831,130.942,68.176,148.838,96.499,139.762,103.993,84.348,122.697,169.748,149.457,116.207,140.971,57.445,84.734,153.365,126.993,123.248,100.552,121.479,112.397,155.579,79.355,151.885,88.309,89.898,114.297,112.182,169.184,122.878,125.448,39,7,56,10,82,1,34,7,17,54,70,16,10,63,18,57,58,42,56,19,71,72,49,30,31,13,10,51,73,13,39,20
81,611,Cormac,8924,8882,Class B,0.568345,0.3,70.4554,58.0,140,7,6,6,6,6,7,6,6,6,6,7,6,7,6,6,7,7,6,7,6,7,7,7,7,7,6,5,6,7,7,6,6,135.458,104.392,130.505,66.103,142.516,93.922,134.975,102.464,81.679,123.469,166.49,144.169,115.132,131.706,57.373,84.161,152.493,124.615,119.624,101.414,119.823,119.175,151.521,75.45,145.227,87.331,83.098,112.688,109.287,165.42,123.458,124.548,76,24,150,17,228,15,102,21,59,130,140,46,24,170,57,165,163,84,137,43,152,189,104,85,94,47,28,132,184,23,87,40
82,2798,sam,11138,8843,Class S,0.77551,0.6,76.1837,64.6,49,6,6,7,8,7,9,6,7,6,5,7,7,6,7,6,6,7,6,6,7,6,7,7,6,6,7,5,6,6,7,6,7,134.834,106.511,132.682,68.435,143.684,97.261,135.69,102.093,84.205,116.472,164.792,147.353,116.638,137.122,57.512,86.553,153.234,126.412,113.168,101.65,119.189,118.748,153.038,76.614,150.437,95.198,88.589,114.412,112.915,160.53,120.994,124.619,39,13,61,6,122,8,66,14,32,88,71,26,12,71,21,65,64,49,86,19,86,105,62,36,44,19,7,64,80,9,29,18
83,728,The Rock,9180,8821,Class A,0.582011,0.6,68.7968,67.1,191,6,7,6,7,6,6,7,7,7,7,6,6,6,6,6,7,6,7,6,7,7,7,6,6,7,6,8,6,7,6,7,6,135.392,108.417,128.195,68.084,147.855,94.052,135.72,103.366,82.54,126.012,164.378,146.431,114.015,141.194,58.962,87.051,152.166,128.061,120.427,100.743,122.12,119.359,150.436,77.437,148.277,89.279,86.889,113.328,112.343,162.591,122.556,123.283,153,16,190,33,267,20,106,34,65,111,165,61,30,141,61,162,193,102,173,26,207,209,126,84,106,47,28,182,205,43,108,47
84,3507,Krymelmonster,8751,8754,Class B,0.61,0.666667,75.5423,75.6207,105,6,8,6,6,6,5,7,6,7,6,6,5,6,6,6,6,7,6,5,6,7,6,6,7,5,5,7,7,6,6,6,7,134.539,108.406,129.793,66.492,144.584,91.579,141.19,103.68,82.184,125.933,164.362,146.625,117.928,137.588,57.7,85.495,151.471,127.693,113.782,98.314,122.93,118.084,148.571,77.221,148.311,88.928,84.3,116.801,109.977,162.098,115.844,125.075,90,10,87,14,154,20,77,18,27,81,107,46,19,86,38,92,122,69,126,23,117,119,69,41,74,24,18,84,125,28,80,44
85,1332,Iris,9232,8743,Class A,0.645833,0.6,69.0727,63.4,97,7,6,6,6,7,8,8,7,7,7,7,7,6,7,6,6,7,6,7,6,7,7,7,7,7,6,6,7,7,7,6,7,131.101,109.172,134.749,65.28,148.452,94.471,140.841,108.039,82.89,124.878,167.374,145.598,111.613,134.474,58.156,84.839,155.231,127.307,120.007,102.41,120.538,117.797,151.982,76.477,148.376,90.162,86.609,116.625,113.723,164.447,122.838,126.405,76,9,98,19,175,6,60,13,31,81,114,35,18,105,23,88,128,94,110,23,121,148,157,54,66,15,20,103,140,23,55,30
86,1109,BLANCO,9712,8718,Class A,0.714286,0.5,66.1569,56.5,78,6,5,6,9,7,6,7,5,6,7,6,8,7,6,7,7,7,7,7,6,7,7,7,6,6,7,6,7,7,6,7,7,137.685,106.628,131.678,70.958,148.005,94.275,135.873,105.292,81.664,125.539,169.442,148.872,121.589,133.519,61.723,86.799,154.688,133.08,121.651,103.255,119.048,118.805,152.377,77.518,151.465,91.342,90.719,115.104,112.24,164.178,124.789,125.783,30,6,62,4,92,11,38,9,24,58,51,22,7,63,12,56,64,26,54,11,63,63,37,50,28,15,11,58,93,12,30,19
87,37,Abyssary,10591,8706,Class S,0.740741,0.7,73.537,74.7,54,7,8,7,8,6,6,6,8,6,6,6,7,7,7,5,7,6,7,6,9,6,6,6,7,7,6,8,7,6,7,7,6,140.566,112.876,132.213,70.885,142.344,92.258,135.272,106.876,80.69,118.382,164.664,151.119,120.082,139.702,57.429,86.941,157.155,126.776,120.32,105.235,119.616,116.444,146.167,78.628,151.65,91.286,89.345,112.437,111.233,161.021,121.061,124.655,47,7,80,7,118,5,46,17,27,92,75,24,8,81,15,73,73,51,68,9,114,107,49,35,49,14,7,72,93,14,37,13
88,1519,skin,9053,8706,Class A,0.604938,0.1,70.0494,59.2,81,6,7,6,7,7,6,6,7,6,7,7,7,8,7,7,6,6,7,7,6,7,7,7,6,7,6,6,6,7,7,6,7,135.317,110.131,131.167,63.415,144.269,95.107,134.924,104.129,80.829,124.622,162.199,146.373,115.018,138.873,56.712,85.466,150.128,126.436,121.817,101.119,121.425,117.915,148.361,74.821,148.746,91.317,82.473,114.523,112.408,161.194,117.291,122.295,86,23,142,28,252,17,109,34,67,116,149,62,21,172,33,154,163,127,143,46,172,223,134,74,85,35,26,158,179,27,64,40
89,2091,Menace,11095,8705,Class S,0.787234,0.9,71.6087,79.4,48,6,6,7,7,6,7,6,5,7,6,7,6,4,6,6,6,7,7,6,6,6,7,7,7,7,5,8,7,7,7,6,6,135.887,108.295,130.664,66.956,136.212,94.697,136.606,106.417,83.035,122.386,164.787,149.39,115.84,139.845,59.586,86.254,152.634,129.483,120.198,99.668,118.179,120.544,152.154,73.572,149.431,91.18,90.051,117.057,112.336,166.198,118.122,122.319,32,9,71,6,102,7,43,5,26,66,72,25,7,71,16,75,67,50,45,13,80,82,45,45,44,18,7,65,82,14,31,20
90,3246,Toddy,8681,8681,Class B,0.622449,0.3,69.6,67.8,99,6,7,7,6,6,7,7,6,6,7,6,7,7,7,6,7,6,6,6,6,7,7,6,7,6,6,6,7,6,6,7,6,134.194,110.48,129.654,64.765,143.882,93.064,139.453,105.002,80.324,124.55,163.806,148.111,109.42,140.039,59.333,86.995,152.19,129.77,114.317,98.411,120.808,120.231,151.437,76.644,150.399,91.767,86.914,114.42,111.818,160.862,122.212,121.964,117,14,120,27,213,13,99,28,59,102,127,54,19,134,48,134,134,100,178,20,153,162,103,57,81,27,25,121,151,21,60,42
